Date,CA confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,2
2020-01-27,3
2020-01-28,3
2020-01-29,4
2020-01-30,4
2020-01-31,4
2020-02-01,4
2020-02-02,4
2020-02-03,6
2020-02-04,6
2020-02-05,6
2020-02-06,6
2020-02-07,6
2020-02-08,6
2020-02-09,6
2020-02-10,6
2020-02-11,7
2020-02-12,7
2020-02-13,8
2020-02-14,8
2020-02-15,8
2020-02-16,8
2020-02-17,8
2020-02-18,9
2020-02-19,9
2020-02-20,9
2020-02-21,12
2020-02-22,12
2020-02-23,12
2020-02-24,13
2020-02-25,13
2020-02-26,15
2020-02-27,16
2020-02-28,18
2020-02-29,22
2020-03-01,22
2020-03-02,30
2020-03-03,34
2020-03-04,48
2020-03-05,62
2020-03-06,79
2020-03-07,119
2020-03-08,131
2020-03-09,194
2020-03-10,221
2020-03-11,299
2020-03-12,325
2020-03-13,406
2020-03-14,504
2020-03-15,621
2020-03-16,740
2020-03-17,923
2020-03-18,1107
2020-03-19,1318
2020-03-20,1597
2020-03-21,1804
2020-03-22,2105
2020-03-23,2587
2020-03-24,2990
2020-03-25,3518
2020-03-26,4368
2020-03-27,5226
2020-03-28,6058
2020-03-29,6707
2020-03-30,7643
2020-03-31,8815
2020-04-01,10172
2020-04-02,11397
2020-04-03,12755
2020-04-04,14055
2020-04-05,15356
2020-04-06,16545
2020-04-07,17706
2020-04-08,19191
2020-04-09,20336
2020-04-10,21566
2020-04-11,22562
2020-04-12,23433
2020-04-13,24437
2020-04-14,25859
2020-04-15,27097
2020-04-16,28126
2020-04-17,29420
2020-04-18,30829
2020-04-19,31591
2020-04-20,33869
2020-04-21,35814
2020-04-22,37688
2020-04-23,39556
2020-04-24,41317
2020-04-25,42565
2020-04-26,43673
2020-04-27,45172
2020-04-28,46414
2020-04-29,48795
2020-04-30,50322
2020-05-01,52253
2020-05-02,53696
2020-05-03,54947
2020-05-04,56191
2020-05-05,58752
2020-05-06,60701
2020-05-07,62373
2020-05-08,64567
2020-05-09,66799
2020-05-10,67995
2020-05-11,69417
2020-05-12,71038
2020-05-13,73093
2020-05-14,74920
2020-05-15,76959
2020-05-16,78795
2020-05-17,80175
2020-05-18,81912
2020-05-19,83870
2020-05-20,86092
2020-05-21,88324
2020-05-22,90778
2020-05-23,92664
2020-05-24,94449
2020-05-25,96673
2020-05-26,99851
2020-05-27,101877
2020-05-28,104014
2020-05-29,106651
2020-05-30,110136
2020-05-31,112703
2020-06-01,115207
2020-06-02,117521
2020-06-03,119846
2020-06-04,122995
2020-06-05,126313
2020-06-06,128965
2020-06-07,131348
2020-06-08,133884
2020-06-09,136863
2020-06-10,139736
2020-06-11,143238
2020-06-12,146999
2020-06-13,150314
2020-06-14,152969
2020-06-15,155687
2020-06-16,159045
2020-06-17,163325
2020-06-18,167090
2020-06-19,170677
2020-06-20,174423
2020-06-21,177691
2020-06-22,184357
2020-06-23,190599
2020-06-24,195441
2020-06-25,200441
2020-06-26,205969
2020-06-27,209841
2020-06-28,213923
2020-06-29,222037
2020-06-30,230360
2020-07-01,237008
2020-07-02,246222
2020-07-03,250573
2020-07-04,252205
2020-07-05,255963
2020-07-06,273088
2020-07-07,283516
2020-07-08,291356
2020-07-09,300324
2020-07-10,311254
2020-07-11,318356
2020-07-12,324444
2020-07-13,333630
2020-07-14,344967
2020-07-15,353254
2020-07-16,363306
2020-07-17,370115
2020-07-18,379114
2020-07-19,384978
2020-07-20,396577
2020-07-21,407367
2020-07-22,419555
2020-07-23,429235
2020-07-24,438429
2020-07-25,446395
2020-07-26,450862
2020-07-27,461442
2020-07-28,471437
2020-07-29,483512
2020-07-30,492310
2020-07-31,500421
2020-08-01,507242
2020-08-02,511556
2020-08-03,520357
2020-08-04,526167
