Date,CA confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,2
2020-01-27,1
2020-01-28,0
2020-01-29,1
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,2
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,1
2020-02-12,0
2020-02-13,1
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,1
2020-02-19,0
2020-02-20,0
2020-02-21,3
2020-02-22,0
2020-02-23,0
2020-02-24,1
2020-02-25,0
2020-02-26,2
2020-02-27,1
2020-02-28,2
2020-02-29,4
2020-03-01,0
2020-03-02,8
2020-03-03,4
2020-03-04,14
2020-03-05,14
2020-03-06,17
2020-03-07,40
2020-03-08,12
2020-03-09,63
2020-03-10,27
2020-03-11,78
2020-03-12,26
2020-03-13,81
2020-03-14,98
2020-03-15,117
2020-03-16,119
2020-03-17,183
2020-03-18,184
2020-03-19,211
2020-03-20,279
2020-03-21,207
2020-03-22,301
2020-03-23,482
2020-03-24,403
2020-03-25,528
2020-03-26,850
2020-03-27,858
2020-03-28,832
2020-03-29,649
2020-03-30,936
2020-03-31,1172
2020-04-01,1357
2020-04-02,1225
2020-04-03,1358
2020-04-04,1300
2020-04-05,1301
2020-04-06,1189
2020-04-07,1161
2020-04-08,1485
2020-04-09,1145
2020-04-10,1230
2020-04-11,996
2020-04-12,871
2020-04-13,1004
2020-04-14,1422
2020-04-15,1238
2020-04-16,1029
2020-04-17,1294
2020-04-18,1409
2020-04-19,762
2020-04-20,2278
2020-04-21,1945
2020-04-22,1874
2020-04-23,1868
2020-04-24,1761
2020-04-25,1248
2020-04-26,1108
2020-04-27,1499
2020-04-28,1242
2020-04-29,2381
2020-04-30,1527
2020-05-01,1931
2020-05-02,1443
2020-05-03,1251
2020-05-04,1244
2020-05-05,2561
2020-05-06,1949
2020-05-07,1672
2020-05-08,2194
2020-05-09,2232
2020-05-10,1196
2020-05-11,1422
2020-05-12,1621
2020-05-13,2055
2020-05-14,1827
2020-05-15,2039
2020-05-16,1836
2020-05-17,1380
2020-05-18,1737
2020-05-19,1958
2020-05-20,2222
2020-05-21,2232
2020-05-22,2454
2020-05-23,1886
2020-05-24,1785
2020-05-25,2224
2020-05-26,3178
2020-05-27,2026
2020-05-28,2137
2020-05-29,2637
2020-05-30,3485
2020-05-31,2567
2020-06-01,2504
2020-06-02,2314
2020-06-03,2325
2020-06-04,3149
2020-06-05,3318
2020-06-06,2652
2020-06-07,2383
2020-06-08,2536
2020-06-09,2979
2020-06-10,2873
2020-06-11,3502
2020-06-12,3761
2020-06-13,3315
2020-06-14,2655
2020-06-15,2718
2020-06-16,3358
2020-06-17,4280
2020-06-18,3765
2020-06-19,3587
2020-06-20,3746
2020-06-21,3268
2020-06-22,6666
2020-06-23,6242
2020-06-24,4842
2020-06-25,5000
2020-06-26,5528
2020-06-27,3872
2020-06-28,4082
2020-06-29,8114
2020-06-30,8323
2020-07-01,6648
2020-07-02,9214
2020-07-03,4351
2020-07-04,1632
2020-07-05,3758
2020-07-06,17125
2020-07-07,10428
2020-07-08,7840
2020-07-09,8968
2020-07-10,10930
2020-07-11,7102
2020-07-12,6088
2020-07-13,9186
2020-07-14,11337
2020-07-15,8287
2020-07-16,10052
2020-07-17,6809
2020-07-18,8999
2020-07-19,5864
2020-07-20,11599
2020-07-21,10790
2020-07-22,12188
2020-07-23,9680
2020-07-24,9194
2020-07-25,7966
2020-07-26,4467
2020-07-27,10580
2020-07-28,9995
2020-07-29,12075
2020-07-30,8798
2020-07-31,8111
2020-08-01,6821
2020-08-02,4314
2020-08-03,8801
2020-08-04,5810
2020-08-05,5724
2020-08-06,8089
