Date,CA deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,2
2020-02-18,2
2020-02-19,2
2020-02-20,2
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-24,2
2020-02-25,2
2020-02-26,2
2020-02-27,2
2020-02-28,2
2020-02-29,2
2020-03-01,2
2020-03-02,2
2020-03-03,2
2020-03-04,3
2020-03-05,3
2020-03-06,4
2020-03-07,4
2020-03-08,4
2020-03-09,5
2020-03-10,6
2020-03-11,7
2020-03-12,7
2020-03-13,7
2020-03-14,7
2020-03-15,9
2020-03-16,14
2020-03-17,17
2020-03-18,20
2020-03-19,22
2020-03-20,27
2020-03-21,30
2020-03-22,36
2020-03-23,43
2020-03-24,55
2020-03-25,70
2020-03-26,86
2020-03-27,103
2020-03-28,124
2020-03-29,135
2020-03-30,152
2020-03-31,185
2020-04-01,215
2020-04-02,246
2020-04-03,284
2020-04-04,323
2020-04-05,352
2020-04-06,389
2020-04-07,448
2020-04-08,505
2020-04-09,546
2020-04-10,596
2020-04-11,632
2020-04-12,677
2020-04-13,726
2020-04-14,779
2020-04-15,879
2020-04-16,971
2020-04-17,1011
2020-04-18,1147
2020-04-19,1177
2020-04-20,1224
2020-04-21,1317
2020-04-22,1430
2020-04-23,1527
2020-04-24,1611
2020-04-25,1690
2020-04-26,1713
2020-04-27,1776
2020-04-28,1865
2020-04-29,1941
2020-04-30,2031
2020-05-01,2128
2020-05-02,2185
2020-05-03,2208
2020-05-04,2282
2020-05-05,2376
2020-05-06,2459
2020-05-07,2540
2020-05-08,2627
2020-05-09,2689
2020-05-10,2716
2020-05-11,2777
2020-05-12,2877
2020-05-13,2969
2020-05-14,3049
2020-05-15,3157
2020-05-16,3208
2020-05-17,3240
2020-05-18,3284
2020-05-19,3406
2020-05-20,3495
2020-05-21,3597
2020-05-22,3667
2020-05-23,3735
2020-05-24,3751
2020-05-25,3766
2020-05-26,3823
2020-05-27,3912
2020-05-28,3993
2020-05-29,4074
2020-05-30,4141
2020-05-31,4171
2020-06-01,4171
2020-06-02,4315
2020-06-03,4384
2020-06-04,4452
2020-06-05,4535
2020-06-06,4604
2020-06-07,4632
2020-06-08,4657
2020-06-09,4749
2020-06-10,4854
2020-06-11,4928
2020-06-12,4984
2020-06-13,5055
2020-06-14,5082
2020-06-15,5115
2020-06-16,5197
2020-06-17,5278
2020-06-18,5352
2020-06-19,5418
2020-06-20,5486
2020-06-21,5507
2020-06-22,5565
2020-06-23,5622
2020-06-24,5723
2020-06-25,5804
2020-06-26,5865
2020-06-27,5898
2020-06-28,5930
2020-06-29,5976
2020-06-30,6081
2020-07-01,6160
2020-07-02,6261
2020-07-03,6312
2020-07-04,6330
2020-07-05,6336
2020-07-06,6448
2020-07-07,6563
2020-07-08,6710
2020-07-09,6849
2020-07-10,6952
2020-07-11,7026
2020-07-12,7049
2020-07-13,7096
2020-07-14,7237
2020-07-15,7366
2020-07-16,7489
2020-07-17,7543
2020-07-18,7702
2020-07-19,7713
2020-07-20,7772
2020-07-21,7892
2020-07-22,8048
2020-07-23,8202
2020-07-24,8339
2020-07-25,8428
2020-07-26,8450
2020-07-27,8545
2020-07-28,8714
2020-07-29,8908
2020-07-30,9008
2020-07-31,9224
2020-08-01,9361
2020-08-02,9393
2020-08-03,9507
2020-08-04,9701
2020-08-05,9868
2020-08-06,10001
2020-08-07,10186
