Date,CA deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,1
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,1
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,0
2020-03-06,1
2020-03-07,0
2020-03-08,0
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,2
2020-03-16,5
2020-03-17,3
2020-03-18,3
2020-03-19,2
2020-03-20,5
2020-03-21,3
2020-03-22,6
2020-03-23,7
2020-03-24,12
2020-03-25,15
2020-03-26,16
2020-03-27,17
2020-03-28,21
2020-03-29,11
2020-03-30,17
2020-03-31,33
2020-04-01,30
2020-04-02,31
2020-04-03,38
2020-04-04,39
2020-04-05,29
2020-04-06,37
2020-04-07,59
2020-04-08,57
2020-04-09,41
2020-04-10,50
2020-04-11,36
2020-04-12,45
2020-04-13,49
2020-04-14,53
2020-04-15,100
2020-04-16,92
2020-04-17,40
2020-04-18,136
2020-04-19,30
2020-04-20,47
2020-04-21,93
2020-04-22,113
2020-04-23,97
2020-04-24,84
2020-04-25,79
2020-04-26,23
2020-04-27,63
2020-04-28,89
2020-04-29,76
2020-04-30,90
2020-05-01,97
2020-05-02,57
2020-05-03,23
2020-05-04,74
2020-05-05,94
2020-05-06,83
2020-05-07,81
2020-05-08,87
2020-05-09,62
2020-05-10,27
2020-05-11,61
2020-05-12,100
2020-05-13,92
2020-05-14,80
2020-05-15,108
2020-05-16,51
2020-05-17,32
2020-05-18,44
2020-05-19,122
2020-05-20,89
2020-05-21,102
2020-05-22,70
2020-05-23,68
2020-05-24,16
2020-05-25,15
2020-05-26,57
2020-05-27,89
2020-05-28,81
2020-05-29,81
2020-05-30,67
2020-05-31,30
2020-06-01,0
2020-06-02,144
2020-06-03,69
2020-06-04,68
2020-06-05,83
2020-06-06,69
2020-06-07,28
2020-06-08,25
2020-06-09,92
2020-06-10,105
2020-06-11,74
2020-06-12,56
2020-06-13,71
2020-06-14,27
2020-06-15,33
2020-06-16,82
2020-06-17,81
2020-06-18,74
2020-06-19,66
2020-06-20,68
2020-06-21,21
2020-06-22,58
2020-06-23,57
2020-06-24,101
2020-06-25,81
2020-06-26,61
2020-06-27,33
2020-06-28,32
2020-06-29,46
2020-06-30,105
2020-07-01,79
2020-07-02,101
2020-07-03,51
2020-07-04,18
2020-07-05,6
2020-07-06,112
2020-07-07,115
2020-07-08,147
2020-07-09,139
2020-07-10,103
2020-07-11,74
2020-07-12,23
2020-07-13,47
2020-07-14,141
2020-07-15,129
2020-07-16,123
2020-07-17,54
2020-07-18,159
2020-07-19,11
2020-07-20,59
2020-07-21,120
2020-07-22,156
2020-07-23,154
2020-07-24,137
2020-07-25,89
2020-07-26,22
2020-07-27,95
2020-07-28,169
2020-07-29,194
2020-07-30,100
2020-07-31,216
2020-08-01,137
2020-08-02,32
2020-08-03,114
2020-08-04,194
2020-08-05,167
2020-08-06,133
2020-08-07,185
2020-08-08,99
2020-08-09,88
2020-08-10,92
2020-08-11,185
2020-08-12,161
2020-08-13,187
2020-08-14,150
2020-08-15,74
2020-08-16,16
2020-08-17,106
2020-08-18,180
2020-08-19,164
2020-08-20,132
