Date,CO confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,3
2020-03-07,7
2020-03-08,7
2020-03-09,14
2020-03-10,18
2020-03-11,24
2020-03-12,49
2020-03-13,76
2020-03-14,99
2020-03-15,130
2020-03-16,159
2020-03-17,183
2020-03-18,183
2020-03-19,277
2020-03-20,361
2020-03-21,475
2020-03-22,591
2020-03-23,720
2020-03-24,911
2020-03-25,1086
2020-03-26,1429
2020-03-27,1732
2020-03-28,2061
2020-03-29,2306
2020-03-30,2624
2020-03-31,2965
2020-04-01,3341
2020-04-02,3724
2020-04-03,4173
2020-04-04,4565
2020-04-05,4950
2020-04-06,5172
2020-04-07,5429
2020-04-08,5655
2020-04-09,6098
2020-04-10,6320
2020-04-11,6635
2020-04-12,6894
2020-04-13,7127
2020-04-14,7288
2020-04-15,7493
2020-04-16,8675
2020-04-17,9046
2020-04-18,9426
2020-04-19,9723
2020-04-20,10100
2020-04-21,10440
2020-04-22,10871
2020-04-23,11182
2020-04-24,12171
2020-04-25,12884
2020-04-26,13355
2020-04-27,13793
2020-04-28,14304
2020-04-29,14743
2020-04-30,15261
2020-05-01,15766
2020-05-02,16224
2020-05-03,16624
2020-05-04,16902
2020-05-05,17364
2020-05-06,17830
2020-05-07,18371
2020-05-08,18827
2020-05-09,19371
2020-05-10,19697
2020-05-11,19875
2020-05-12,20152
2020-05-13,20467
2020-05-14,20830
2020-05-15,21224
2020-05-16,21624
2020-05-17,21927
2020-05-18,22196
2020-05-19,22475
2020-05-20,22796
2020-05-21,23178
2020-05-22,23485
2020-05-23,23954
2020-05-24,24157
2020-05-25,24248
2020-05-26,24542
2020-05-27,24766
2020-05-28,25121
2020-05-29,25612
2020-05-30,26098
2020-05-31,26378
2020-06-01,26577
2020-06-02,26785
2020-06-03,27058
2020-06-04,27359
2020-06-05,27615
2020-06-06,27846
2020-06-07,27999
2020-06-08,28178
2020-06-09,28342
2020-06-10,28495
2020-06-11,28643
2020-06-12,28819
2020-06-13,29015
2020-06-14,29127
2020-06-15,29296
2020-06-16,29429
2020-06-17,29670
2020-06-18,29899
2020-06-19,30185
2020-06-20,30347
2020-06-21,30535
2020-06-22,30703
2020-06-23,30891
2020-06-24,31153
2020-06-25,31478
2020-06-26,31795
2020-06-27,32022
2020-06-28,32304
2020-06-29,32511
2020-06-30,32715
2020-07-01,33029
2020-07-02,33352
2020-07-03,33612
2020-07-04,33866
2020-07-05,34065
2020-07-06,34257
2020-07-07,34664
2020-07-08,35116
2020-07-09,35525
2020-07-10,36191
2020-07-11,36591
2020-07-12,36913
2020-07-13,37242
2020-07-14,37686
2020-07-15,38155
2020-07-16,38726
2020-07-17,39344
2020-07-18,39788
2020-07-19,40142
2020-07-20,40566
2020-07-21,41059
2020-07-22,41698
2020-07-23,42314
2020-07-24,42980
2020-07-25,43789
2020-07-26,44336
2020-07-27,44565
2020-07-28,45314
2020-07-29,45796
2020-07-30,46204
2020-07-31,46809
2020-08-01,47267
2020-08-02,47716
2020-08-03,47968
2020-08-04,48394
2020-08-05,48988
