Date,CO confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,3
2020-03-07,4
2020-03-08,0
2020-03-09,7
2020-03-10,4
2020-03-11,6
2020-03-12,25
2020-03-13,27
2020-03-14,23
2020-03-15,31
2020-03-16,29
2020-03-17,24
2020-03-18,0
2020-03-19,94
2020-03-20,84
2020-03-21,114
2020-03-22,116
2020-03-23,129
2020-03-24,191
2020-03-25,175
2020-03-26,343
2020-03-27,303
2020-03-28,329
2020-03-29,245
2020-03-30,318
2020-03-31,341
2020-04-01,376
2020-04-02,383
2020-04-03,449
2020-04-04,392
2020-04-05,385
2020-04-06,222
2020-04-07,257
2020-04-08,226
2020-04-09,443
2020-04-10,222
2020-04-11,315
2020-04-12,259
2020-04-13,233
2020-04-14,161
2020-04-15,205
2020-04-16,1182
2020-04-17,371
2020-04-18,380
2020-04-19,297
2020-04-20,377
2020-04-21,340
2020-04-22,431
2020-04-23,311
2020-04-24,989
2020-04-25,713
2020-04-26,471
2020-04-27,438
2020-04-28,511
2020-04-29,439
2020-04-30,518
2020-05-01,505
2020-05-02,458
2020-05-03,400
2020-05-04,278
2020-05-05,462
2020-05-06,466
2020-05-07,541
2020-05-08,456
2020-05-09,544
2020-05-10,326
2020-05-11,178
2020-05-12,277
2020-05-13,315
2020-05-14,363
2020-05-15,394
2020-05-16,400
2020-05-17,303
2020-05-18,269
2020-05-19,279
2020-05-20,321
2020-05-21,382
2020-05-22,307
2020-05-23,469
2020-05-24,203
2020-05-25,91
2020-05-26,294
2020-05-27,224
2020-05-28,355
2020-05-29,491
2020-05-30,486
2020-05-31,280
2020-06-01,199
2020-06-02,208
2020-06-03,273
2020-06-04,301
2020-06-05,256
2020-06-06,231
2020-06-07,153
2020-06-08,179
2020-06-09,164
2020-06-10,153
2020-06-11,148
2020-06-12,176
2020-06-13,196
2020-06-14,112
2020-06-15,169
2020-06-16,133
2020-06-17,241
2020-06-18,229
2020-06-19,286
2020-06-20,162
2020-06-21,188
2020-06-22,168
2020-06-23,188
2020-06-24,262
2020-06-25,325
2020-06-26,317
2020-06-27,227
2020-06-28,282
2020-06-29,207
2020-06-30,204
2020-07-01,314
2020-07-02,323
2020-07-03,260
2020-07-04,254
2020-07-05,199
2020-07-06,192
2020-07-07,407
2020-07-08,452
2020-07-09,409
2020-07-10,666
2020-07-11,400
2020-07-12,322
2020-07-13,329
2020-07-14,444
2020-07-15,469
2020-07-16,571
2020-07-17,618
2020-07-18,444
2020-07-19,354
2020-07-20,424
2020-07-21,493
2020-07-22,639
2020-07-23,616
2020-07-24,666
2020-07-25,809
2020-07-26,547
2020-07-27,229
2020-07-28,749
2020-07-29,482
2020-07-30,408
2020-07-31,605
2020-08-01,458
2020-08-02,449
2020-08-03,252
2020-08-04,426
2020-08-05,594
2020-08-06,448
2020-08-07,457
2020-08-08,431
2020-08-09,336
2020-08-10,379
2020-08-11,402
2020-08-12,315
2020-08-13,463
2020-08-14,319
2020-08-15,300
2020-08-16,338
2020-08-17,194
2020-08-18,261
2020-08-19,270
2020-08-20,329
