Date,CO deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,2
2020-03-18,2
2020-03-19,2
2020-03-20,4
2020-03-21,6
2020-03-22,7
2020-03-23,7
2020-03-24,11
2020-03-25,19
2020-03-26,24
2020-03-27,31
2020-03-28,44
2020-03-29,47
2020-03-30,54
2020-03-31,69
2020-04-01,80
2020-04-02,97
2020-04-03,111
2020-04-04,126
2020-04-05,139
2020-04-06,150
2020-04-07,179
2020-04-08,193
2020-04-09,227
2020-04-10,250
2020-04-11,274
2020-04-12,290
2020-04-13,290
2020-04-14,329
2020-04-15,357
2020-04-16,374
2020-04-17,391
2020-04-18,411
2020-04-19,422
2020-04-20,449
2020-04-21,486
2020-04-22,508
2020-04-23,550
2020-04-24,660
2020-04-25,670
2020-04-26,678
2020-04-27,703
2020-04-28,735
2020-04-29,765
2020-04-30,776
2020-05-01,820
2020-05-02,832
2020-05-03,842
2020-05-04,851
2020-05-05,901
2020-05-06,921
2020-05-07,944
2020-05-08,959
2020-05-09,967
2020-05-10,971
2020-05-11,987
2020-05-12,1009
2020-05-13,1062
2020-05-14,1091
2020-05-15,1150
2020-05-16,1192
2020-05-17,1214
2020-05-18,1224
2020-05-19,1257
2020-05-20,1298
2020-05-21,1308
2020-05-22,1321
2020-05-23,1325
2020-05-24,1329
2020-05-25,1332
2020-05-26,1351
2020-05-27,1392
2020-05-28,1421
2020-05-29,1435
2020-05-30,1442
2020-05-31,1444
2020-06-01,1456
2020-06-02,1472
2020-06-03,1492
2020-06-04,1509
2020-06-05,1520
2020-06-06,1524
2020-06-07,1524
2020-06-08,1540
2020-06-09,1551
2020-06-10,1571
2020-06-11,1582
2020-06-12,1594
2020-06-13,1597
2020-06-14,1598
2020-06-15,1603
2020-06-16,1616
2020-06-17,1630
2020-06-18,1636
2020-06-19,1642
2020-06-20,1646
2020-06-21,1646
2020-06-22,1650
2020-06-23,1662
2020-06-24,1664
2020-06-25,1665
2020-06-26,1673
2020-06-27,1674
2020-06-28,1674
2020-06-29,1682
2020-06-30,1690
2020-07-01,1697
2020-07-02,1700
2020-07-03,1701
2020-07-04,1701
2020-07-05,1701
2020-07-06,1701
2020-07-07,1701
2020-07-08,1704
2020-07-09,1706
2020-07-10,1724
2020-07-11,1725
2020-07-12,1725
2020-07-13,1727
2020-07-14,1738
2020-07-15,1744
2020-07-16,1745
2020-07-17,1751
2020-07-18,1752
2020-07-19,1752
2020-07-20,1758
2020-07-21,1763
2020-07-22,1771
2020-07-23,1786
2020-07-24,1790
2020-07-25,1794
2020-07-26,1794
2020-07-27,1799
2020-07-28,1807
2020-07-29,1822
2020-07-30,1822
2020-07-31,1838
2020-08-01,1844
2020-08-02,1844
2020-08-03,1844
2020-08-04,1849
2020-08-05,1851
2020-08-06,1852
2020-08-07,1856
2020-08-08,1857
2020-08-09,1858
2020-08-10,1863
