Date,CO deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,1
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,1
2020-03-18,0
2020-03-19,0
2020-03-20,2
2020-03-21,2
2020-03-22,1
2020-03-23,0
2020-03-24,4
2020-03-25,8
2020-03-26,5
2020-03-27,7
2020-03-28,13
2020-03-29,3
2020-03-30,7
2020-03-31,15
2020-04-01,11
2020-04-02,17
2020-04-03,14
2020-04-04,15
2020-04-05,13
2020-04-06,11
2020-04-07,29
2020-04-08,14
2020-04-09,34
2020-04-10,23
2020-04-11,24
2020-04-12,16
2020-04-13,0
2020-04-14,39
2020-04-15,28
2020-04-16,17
2020-04-17,17
2020-04-18,20
2020-04-19,11
2020-04-20,27
2020-04-21,37
2020-04-22,22
2020-04-23,42
2020-04-24,110
2020-04-25,10
2020-04-26,8
2020-04-27,25
2020-04-28,32
2020-04-29,30
2020-04-30,11
2020-05-01,44
2020-05-02,12
2020-05-03,10
2020-05-04,9
2020-05-05,50
2020-05-06,20
2020-05-07,23
2020-05-08,15
2020-05-09,8
2020-05-10,4
2020-05-11,16
2020-05-12,22
2020-05-13,53
2020-05-14,29
2020-05-15,59
2020-05-16,42
2020-05-17,22
2020-05-18,10
2020-05-19,33
2020-05-20,41
2020-05-21,10
2020-05-22,13
2020-05-23,4
2020-05-24,4
2020-05-25,3
2020-05-26,19
2020-05-27,41
2020-05-28,29
2020-05-29,14
2020-05-30,7
2020-05-31,2
2020-06-01,12
2020-06-02,16
2020-06-03,20
2020-06-04,17
2020-06-05,11
2020-06-06,4
2020-06-07,0
2020-06-08,16
2020-06-09,11
2020-06-10,20
2020-06-11,11
2020-06-12,12
2020-06-13,3
2020-06-14,1
2020-06-15,5
2020-06-16,13
2020-06-17,14
2020-06-18,6
2020-06-19,6
2020-06-20,4
2020-06-21,0
2020-06-22,4
2020-06-23,12
2020-06-24,2
2020-06-25,1
2020-06-26,8
2020-06-27,1
2020-06-28,0
2020-06-29,8
2020-06-30,8
2020-07-01,7
2020-07-02,3
2020-07-03,1
2020-07-04,0
2020-07-05,0
2020-07-06,0
2020-07-07,-5
2020-07-08,8
2020-07-09,2
2020-07-10,18
2020-07-11,1
2020-07-12,0
2020-07-13,2
2020-07-14,11
2020-07-15,6
2020-07-16,1
2020-07-17,6
2020-07-18,1
2020-07-19,0
2020-07-20,6
2020-07-21,5
2020-07-22,8
2020-07-23,15
2020-07-24,4
2020-07-25,4
2020-07-26,0
2020-07-27,5
2020-07-28,8
2020-07-29,15
2020-07-30,0
2020-07-31,16
2020-08-01,6
2020-08-02,0
2020-08-03,0
2020-08-04,5
2020-08-05,2
2020-08-06,1
2020-08-07,4
2020-08-08,1
2020-08-09,1
2020-08-10,5
2020-08-11,12
2020-08-12,0
2020-08-13,7
2020-08-14,6
2020-08-15,8
2020-08-16,0
2020-08-17,0
2020-08-18,3
2020-08-19,1
2020-08-20,3
